summit1,summit2,distance_km
EA7/JA-159,ZL1/WK-121,20012.52
EA4/CR-043,ZL1/BP-095,20012.51
EA7/JA-061,ZL1/BP-054,20012.5
EA1/CR-047,ZL3/CB-643,20012.49
EA7/JA-074,ZL1/BP-100,20012.49
EA1/CR-027,ZL3/CB-166,20012.49
EA4/BA-054,ZL1/TN-016,20012.47
CT/BA-026,ZL3/TM-129,20012.46
EA1/CR-016,ZL3/WC-459,20012.46
EA5/MU-001,ZL1/GI-007,20012.46
EA7/CA-029,ZL1/AK-023,20012.46
EA5/AB-018,ZL1/GI-052,20012.46
EA7/JA-108,ZL1/BP-172,20012.45
EA1/PO-009,ZL3/WC-657,20012.45
EA1/CR-019,ZL3/WC-215,20012.45
EA1/OU-017,ZL3/MB-026,20012.45
EA1/CR-023,ZL3/WC-174,20012.44
EA4/CR-037,ZL1/BP-180,20012.44
EA4/CR-086,ZL1/MW-140,20012.44
CT/MN-014,ZL3/WC-563,20012.44
EA1/CR-013,ZL3/CB-181,20012.44
EA7/JA-138,ZL1/WK-111,20012.44
EA1/LE-226,ZL3/CB-439,20012.44
EA5/AB-073,ZL1/GI-092,20012.44
EA1/CR-046,ZL3/WC-050,20012.44
EA1/OU-024,ZL3/WC-505,20012.44
EA1/OU-020,ZL3/WC-643,20012.42
EA1/PO-022,ZL3/WC-732,20012.42
EA1/CR-023,ZL3/WC-196,20012.41
EA1/LE-214,ZL3/CB-884,20012.41
CT/TM-058,ZL3/TM-239,20012.41
CT/TM-029,ZL3/TM-088,20012.41
EA4/CR-013,ZL1/BP-149,20012.41
EA4/CR-090,ZL1/WK-099,20012.41
EA5/MU-092,ZL1/GI-010,20012.41
EA1/PO-017,ZL3/WC-261,20012.4
EA4/CR-072,ZL1/MW-015,20012.4
CT/MN-021,ZL3/WC-441,20012.4
CT/MN-013,ZL3/WC-735,20012.39
EA1/PO-007,ZL3/WC-382,20012.38
EA5/MU-079,ZL1/GI-001,20012.38
EA4/CR-116,ZL1/WK-102,20012.38
EA1/LU-054,ZL3/CB-526,20012.38
CT/TM-022,ZL3/TM-112,20012.37
EA1/OU-036,ZL3/WC-587,20012.36
CT/TM-045,ZL3/TM-266,20012.36
CT/MN-014,ZL3/WC-606,20012.35
EA5/AB-020,ZL1/BP-122,20012.35
EA7/JA-110,ZL1/BP-206,20012.34
EA7/JA-055,ZL1/BP-198,20012.34
EA7/JA-090,ZL1/BP-177,20012.34
EA1/OU-025,ZL3/WC-408,20012.34
EA1/LU-009,ZL3/CB-827,20012.33
EA1/LE-266,ZL3/CB-681,20012.33
EA1/OU-003,ZL3/CB-303,20012.32
EA1/ZA-013,ZL3/MB-274,20012.32
EA4/CR-048,ZL1/WK-070,20012.32
EA1/LE-278,ZL3/CB-829,20012.32
EA7/JA-144,ZL1/BP-236,20012.32
CT/TM-004,ZL3/TM-091,20012.32
EA4/CR-054,ZL1/BP-025,20012.32
EA5/MU-096,ZL1/GI-017,20012.31
EA7/JA-107,ZL1/GI-025,20012.31
EA7/CO-056,ZL1/WK-188,20012.31
CT/TM-047,ZL3/TM-233,20012.29
EA1/ZA-015,ZL3/MB-363,20012.29
EA1/LU-012,ZL3/CB-818,20012.28
EA5/AB-037,ZL1/GI-135,20012.28
CT/TM-051,ZL3/WC-703,20012.28
CT/MN-003,ZL3/WC-680,20012.27
EA5/MU-103,ZL1/GI-043,20012.27
EA7/JA-136,ZL1/BP-129,20012.27
EA1/LU-078,ZL3/CB-729,20012.27
CT/TM-039,ZL3/TM-055,20012.27
EA1/ZA-006,ZL3/MB-029,20012.27
